constructor_id,country_name,country_id,constructor_name
0,Verenigde Staten,Not set yet,Haas-Ferrari
1,Verenigd Koninkrijk,Not set yet,Williams-Mercedes
2,Zwitserland,Not set yet, Sauber-Ferrari
3,Frankrijk,Not set yet,Alpine-Renault
4,Italië,Not set yet,RB-Honda RBPT
5,Verenigd Koninkrijk,Not set yet,Aston Martin-Mercedes
6,Italië,Not set yet,Ferrari
7,Verenigd Koninkrijk,Not set yet,McLaren-Mercedes
8,Duitsland,Not set yet,Mercedes
9,Oostenrijk,Not set yet,Red Bull Racing-Honda RBPT
10,Italië,Not set yet,AlphaTauri-Honda RBPT
